AR,MF,MT,PR,FPI,TPI,SE,GC
12,235.7055961,5.221523118,7.058823529,2195.833333,566.6666667,15.09768969,3
10,220.4987835,3.73338903,5.882352941,2465,486.2,12.95889092,3
8,220.4987835,3.916142339,4.705882353,3081.25,637.5,16.97249257,3
12,237.2262774,4.568832729,7.058823529,2210,495.8333333,13.21908511,3
10,235.7055961,3.615904759,5.882352941,2635,470.9,12.5572452,3
12,319.3430657,5.613137352,7.5,2800,573.3333333,15.29777192,2
10,273.7226277,5.221523118,5.882352941,3060,680,18.11469316,2
15,501.8248175,11.74842702,11.53846154,2860,780,20.83079886,2
13,471.4111922,9.137665457,8.125,3815.384615,861.5384615,22.98535727,2
10,486.6180049,9.790355847,6.666666667,4800,1125,29.9785415,2
10,471.4111922,6.526903898,7.692307692,4030,650,17.37378345,2
6,486.6180049,10.18197008,4,8000,1950,51.86367937,2
5,380.1703163,3.524528105,3.125,8000,864,23.02531089,3
12,258.5158151,5.613137352,8,2125,537.5,14.33030887,3
7,273.7226277,5.221523118,4.375,4114.285714,914.2857143,24.32969335,3
8,349.756691,3.916142339,4.705882353,4887.5,637.5,17.00839754,3
7,304.136253,5.221523118,4.375,4571.428571,914.2857143,24.33814158,3
9,319.3430657,6.526903898,5.625,3733.333333,888.8888889,23.66865294,3
10,273.7226277,2.610761559,5,3600,400,10.68701,3
10,258.5158151,4.960446962,5.555555556,3060,684,18.21657881,3
8,288.9294404,4.568832729,4.705882353,4037.5,743.75,19.81004157,3
10,317.8223844,4.829908884,5.555555556,3762,666,17.75555893,3
10,319.3430657,5.221523118,5,4200,800,21.31065829,3
10,273.7226277,3.524528105,5.555555556,3240,486,12.96836983,3
10,304.136253,4.568832729,5.555555556,3600,630,16.7967694,3
7,304.136253,3.916142339,3.888888889,5142.857143,771.4285714,20.54850732,3
10,410.5839416,3.916142339,5.555555556,4860,540,14.43886861,3
